epiweek,region,first-observed-wili,final-observed-wili
201107,hhs6,7.2870001792908,7.94874
201108,hhs6,5.7230000495911,6.25285
201109,hhs6,4.7480001449585,4.74045
201110,hhs6,3.6019999980927,3.57418
201111,hhs6,3.0499999523163,3.01461
201112,hhs6,3.0160000324249,2.89336
201113,hhs6,1.8090000152588,2.00158
201114,hhs6,1.9129999876022,1.83492
201115,hhs6,1.4140000343323,1.46036
201116,hhs6,1.3619999885559,1.47911
201117,hhs6,1.1979999542236,1.32832
201118,hhs6,1.2339999675751,1.41019
201119,hhs6,1.069000005722,1.44453
201120,hhs6,1.12399995327,1.21322
201041,hhs7,1.3320000171661,1.08027
201042,hhs7,0.841000020504,1.06182
201043,hhs7,1.2359999418259,0.845718
201044,hhs7,0.85199999809265,0.742364
201045,hhs7,0.841000020504,1.17186
201046,hhs7,1.039999961853,1.07974
201047,hhs7,0.91399997472763,1.00558
201048,hhs7,1.2439999580383,1.39302
201049,hhs7,0.97799998521805,1.3103
201050,hhs7,1.2450000047684,1.55739
201051,hhs7,1.5190000534058,1.98246
201052,hhs7,1.7050000429153,2.28887
201101,hhs7,1.3270000219345,1.67952
201102,hhs7,1.8170000314713,1.74762
201103,hhs7,2.2590000629425,1.95837
201104,hhs7,2.7349998950958,3.27881
201105,hhs7,4.5260000228882,4.31794
201106,hhs7,3.4179999828339,3.68418
201107,hhs7,4.5300002098083,4.52672
201108,hhs7,4.5780000686646,4.67032
201109,hhs7,3.7379999160767,3.73408
201110,hhs7,3.1960000991821,3.46795
201111,hhs7,2.3420000076294,2.28107
201112,hhs7,1.845999956131,1.74696
201113,hhs7,1.4570000171661,1.39176
201114,hhs7,1.3559999465942,1.21802
201115,hhs7,1.1549999713898,1.04518
201116,hhs7,0.53299999237061,0.790359
201117,hhs7,0.67799997329712,0.645403
201118,hhs7,0.483000010252,0.473599
201119,hhs7,0.56400001049042,0.558647
201120,hhs7,0.5809999704361,0.537655
201041,hhs8,0.24799999594688,0.540524
201042,hhs8,0.30599999427795,0.620904
201043,hhs8,0.34400001168251,0.72754
201044,hhs8,0.32600000500679,0.754633
201045,hhs8,0.36399999260902,0.653131
201046,hhs8,0.40099999308586,0.720076
201047,hhs8,0.4210000038147,0.719671
201048,hhs8,0.37700000405312,0.749755
201049,hhs8,0.44499999284744,0.803936
201050,hhs8,0.44600000977516,0.820845
201051,hhs8,0.44200000166893,0.892953
201052,hhs8,0.65499997138977,0.985023
201101,hhs8,0.375,0.724956
201102,hhs8,1.0599999427795,1.35589
201103,hhs8,1.0980000495911,1.44967
201104,hhs8,1.0219999551773,1.53869
201105,hhs8,2.3559999465942,2.2115
201106,hhs8,2.6579999923706,2.5188
