model,season,region,score,oneWk,twoWk,threeWk,fourWk
ReichLab-KDE,2010-2011,hhs3,mae,0.6073448123602979,0.6186785536152942,0.6159259080886792,0.6193076720604476
ReichLab-KDE,2010-2011,hhs3,log,-3.421336571915723,-3.429156779623495,-3.445824523971587,-3.4528592800204163
ReichLab-SARIMA1,2010-2011,hhs3,mae,0.2950312331318856,0.45096773793620126,0.582033328215278,0.7129310303720842
ReichLab-SARIMA1,2010-2011,hhs3,log,-2.802829471822662,-3.1426529517396866,-3.3251728297202034,-3.4560134608537565
ReichLab-SARIMA2,2010-2011,hhs3,mae,0.4189062386751168,0.6754193536696919,0.7978333274523446,0.8171379196232771
ReichLab-SARIMA2,2010-2011,hhs3,log,-3.156539490238832,-3.4963476640755418,-3.622925851613362,-3.664204087106754
CU-BMA,2010-2011,hhs4,mae,0.4001071406262255,0.6596071473189714,0.8153333240085173,0.8364230559422409
CU-BMA,2010-2011,hhs4,log,-3.2370982727820197,-3.7317712271117887,-4.016547568782022,-4.021160897785525
CU-EAKFC,2010-2011,hhs4,mae,0.6022499974284828,0.664321436200823,0.8597777790493423,1.013807692894567
CU-EAKFC,2010-2011,hhs4,log,-4.650562471415464,-4.87337364155408,-5.16520287523186,-5.20644616568343
Delphi-BasisRegression,2010-2011,hhs4,mae,0.5654999963939179,0.6917419310538988,0.7861999956766754,0.8503448264352195
Delphi-BasisRegression,2010-2011,hhs4,log,-4.700579488937077,-4.703823033615036,-4.706420266459612,-4.707130601697276
Delphi-DeltaDensity1,2010-2011,hhs4,mae,0.34350000992417007,0.5341935380812616,0.6067999943097458,0.7149655103683528
Delphi-DeltaDensity1,2010-2011,hhs4,log,-2.8163144070191066,-3.16215149712633,-3.4147541151625305,-3.614895992122503
Delphi-DeltaDensity2,2010-2011,hhs4,mae,0.4001875080168261,0.6817419344379141,0.9110666577021314,1.1613103299305392
Delphi-DeltaDensity2,2010-2011,hhs4,log,-3.664762839863191,-4.5838333091996555,-5.05551267232771,-5.772645824846305
Delphi-EmpiricalBayes1,2010-2011,hhs4,mae,0.5111249901354326,0.7431612922299272,0.9593333268165567,0.9766206831767669
Delphi-EmpiricalBayes1,2010-2011,hhs4,log,-4.519747177144831,-5.372357513684444,-5.812055095800132,-5.915401479635067
Delphi-EmpiricalBayes2,2010-2011,hhs4,mae,0.6343749947845925,0.7821935422958858,0.8866666618982953,1.0004827392512399
Delphi-EmpiricalBayes2,2010-2011,hhs4,log,-5.394422723107365,-5.5279642653806,-5.732535062079133,-6.359727590307349
Delphi-EmpiricalFuture,2010-2011,hhs4,mae,0.8734374888241299,0.8968386988486018,0.9249999872843417,0.9506896438269777
Delphi-EmpiricalFuture,2010-2011,hhs4,log,-4.053518473514938,-4.058083820166318,-4.064783717638943,-4.071492439257577
Delphi-EmpiricalTraj,2010-2011,hhs4,mae,0.8734374888241299,0.8968386988486018,0.9249999872843417,0.9506896438269777
Delphi-EmpiricalTraj,2010-2011,hhs4,log,-4.053518473514938,-4.058083820166318,-4.064783717638943,-4.071492439257577
Delphi-Stat,2010-2011,hhs4,mae,0.29226626851953236,0.4425893482843339,0.5464745046784929,0.6877841041953695
Delphi-Stat,2010-2011,hhs4,log,-2.655007583457081,-3.132324898884769,-3.257852610579524,-3.5686357233021258
Delphi-Uniform,2010-2011,hhs4,mae,4.03593750223517,3.98864516289003,3.938333336512244,3.8889655187212147
Delphi-Uniform,2010-2011,hhs4,log,-5.042716899013471,-5.0371693493641905,-5.031251963071625,-5.0256847126089275
ReichLab-KCDE,2010-2011,hhs4,mae,0.2526875056326325,0.4578064441680883,0.6026666545867915,0.7784137914920678
ReichLab-KCDE,2010-2011,hhs4,log,-2.792883912062837,-3.084959088416675,-3.5240518184908085,-3.4190494279507635
ReichLab-KDE,2010-2011,hhs4,mae,0.9955172398994743,1.0381071414266339,1.0580740734382945,1.0697307678369408
