component_model_id,season,target,weight
ReichLab-SARIMA2,2015/2016,1 wk ahead,8.2364460574688e-13
CU-BMA,2016/2017,1 wk ahead,3.0237385344369e-09
CU-EAKFC_SEIRS,2016/2017,1 wk ahead,0.0897882972241171
CU-EAKFC_SIRS,2016/2017,1 wk ahead,0.0897882972241171
CU-EKF_SEIRS,2016/2017,1 wk ahead,0.0897882972241171
CU-EKF_SIRS,2016/2017,1 wk ahead,0.0897882972241171
CU-RHF_SEIRS,2016/2017,1 wk ahead,0.0897882972241171
CU-RHF_SIRS,2016/2017,1 wk ahead,0.0897882972241171
Delphi-BasisRegression,2016/2017,1 wk ahead,2.34910005638595e-125
Delphi-DeltaDensity1,2016/2017,1 wk ahead,0.2320756859876
Delphi-DeltaDensity2,2016/2017,1 wk ahead,0.104606924405827
Delphi-EmpiricalBayes1,2016/2017,1 wk ahead,0.124583512678448
Delphi-EmpiricalBayes2,2016/2017,1 wk ahead,1.4632801521164e-17
Delphi-EmpiricalFuture,2016/2017,1 wk ahead,5.38165411585958e-72
Delphi-EmpiricalTraj,2016/2017,1 wk ahead,5.38165411585958e-72
Delphi-Stat,2016/2017,1 wk ahead,3.76822633772333e-06
Delphi-Uniform,2016/2017,1 wk ahead,3.0658224547548e-146
LANL-DBM,2016/2017,1 wk ahead,4.04607367708291e-20
ReichLab-KCDE,2016/2017,1 wk ahead,3.22331216382524e-07
ReichLab-KDE,2016/2017,1 wk ahead,8.79274164255731e-58
ReichLab-SARIMA1,2016/2017,1 wk ahead,1.70031411351332e-12
ReichLab-SARIMA2,2016/2017,1 wk ahead,4.28592024589614e-13
CU-BMA,2010/2011,2 wk ahead,0.0506689368268723
CU-EAKFC_SEIRS,2010/2011,2 wk ahead,0.307212852874698
CU-EAKFC_SIRS,2010/2011,2 wk ahead,0.00509441809654467
CU-EKF_SEIRS,2010/2011,2 wk ahead,0.242980318238717
CU-EKF_SIRS,2010/2011,2 wk ahead,0.000325873876764307
CU-RHF_SEIRS,2010/2011,2 wk ahead,0.0243548164874477
CU-RHF_SIRS,2010/2011,2 wk ahead,1.36999157548217e-05
Delphi-BasisRegression,2010/2011,2 wk ahead,0
Delphi-DeltaDensity1,2010/2011,2 wk ahead,0.262320863814126
Delphi-DeltaDensity2,2010/2011,2 wk ahead,0.0444551253191837
Delphi-EmpiricalBayes1,2010/2011,2 wk ahead,0.0625730945498909
Delphi-EmpiricalBayes2,2010/2011,2 wk ahead,2.63167447975102e-65
Delphi-EmpiricalFuture,2010/2011,2 wk ahead,3.53488809255632e-217
Delphi-EmpiricalTraj,2010/2011,2 wk ahead,3.53488809255632e-217
Delphi-Stat,2010/2011,2 wk ahead,4.5399595590824e-21
