component_model_id,season,target,weight
CU-RHF_SIRS,2012/2013,Season peak percentage,0.000107226896487118
Delphi-BasisRegression,2012/2013,Season onset,4.53743194935049e-71
Delphi-BasisRegression,2012/2013,Season peak week,4.53743194935049e-71
Delphi-BasisRegression,2012/2013,Season peak percentage,4.53743194935049e-71
Delphi-DeltaDensity1,2012/2013,Season onset,2.40234718995638e-05
Delphi-DeltaDensity1,2012/2013,Season peak week,2.40234718995638e-05
Delphi-DeltaDensity1,2012/2013,Season peak percentage,2.40234718995638e-05
Delphi-DeltaDensity2,2012/2013,Season onset,1.39452548068685e-12
Delphi-DeltaDensity2,2012/2013,Season peak week,1.39452548068685e-12
Delphi-DeltaDensity2,2012/2013,Season peak percentage,1.39452548068685e-12
Delphi-EmpiricalBayes1,2012/2013,Season onset,3.929424897812e-07
Delphi-EmpiricalBayes1,2012/2013,Season peak week,3.929424897812e-07
Delphi-EmpiricalBayes1,2012/2013,Season peak percentage,3.929424897812e-07
Delphi-EmpiricalBayes2,2012/2013,Season onset,2.33942434512197e-07
Delphi-EmpiricalBayes2,2012/2013,Season peak week,2.33942434512197e-07
Delphi-EmpiricalBayes2,2012/2013,Season peak percentage,2.33942434512197e-07
Delphi-EmpiricalFuture,2012/2013,Season onset,0.0190442013082816
Delphi-EmpiricalFuture,2012/2013,Season peak week,0.0190442013082816
Delphi-EmpiricalFuture,2012/2013,Season peak percentage,0.0190442013082816
Delphi-EmpiricalTraj,2012/2013,Season onset,2.76825252805422e-21
Delphi-EmpiricalTraj,2012/2013,Season peak week,2.76825252805422e-21
Delphi-EmpiricalTraj,2012/2013,Season peak percentage,2.76825252805422e-21
Delphi-Stat,2012/2013,Season onset,2.45505040915938e-12
Delphi-Stat,2012/2013,Season peak week,2.45505040915938e-12
Delphi-Stat,2012/2013,Season peak percentage,2.45505040915938e-12
Delphi-Uniform,2012/2013,Season onset,2.35124368929512e-74
Delphi-Uniform,2012/2013,Season peak week,2.35124368929512e-74
Delphi-Uniform,2012/2013,Season peak percentage,2.35124368929512e-74
LANL-DBM,2012/2013,Season onset,0.629050681867164
LANL-DBM,2012/2013,Season peak week,0.629050681867164
LANL-DBM,2012/2013,Season peak percentage,0.629050681867164
ReichLab-KCDE,2012/2013,Season onset,0.179066927805469
ReichLab-KCDE,2012/2013,Season peak week,0.179066927805469
ReichLab-KCDE,2012/2013,Season peak percentage,0.179066927805469
ReichLab-KDE,2012/2013,Season onset,0.038275281965346
ReichLab-KDE,2012/2013,Season peak week,0.038275281965346
ReichLab-KDE,2012/2013,Season peak percentage,0.038275281965346
ReichLab-SARIMA1,2012/2013,Season onset,3.11397084525316e-25
ReichLab-SARIMA1,2012/2013,Season peak week,3.11397084525316e-25
ReichLab-SARIMA1,2012/2013,Season peak percentage,3.11397084525316e-25
