component_model_id,season,location,target,weight
Protea-Springbok,2010/20112019/2020,HHS Region 2,Season onset,0.4047697221942761
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 2,Season onset,0.05864099517149021
UA-EpiCos,2010/20112019/2020,HHS Region 2,Season onset,0.014977107384243732
CU-BMA,2010/20112019/2020,HHS Region 2,Season peak week,0.03211329689150316
FluOutlook-Mech,2010/20112019/2020,HHS Region 2,Season peak week,0.029717920881508708
FluOutlook-MechAug,2010/20112019/2020,HHS Region 2,Season peak week,0.028581246678600545
FluX-ARLR,2010/20112019/2020,HHS Region 2,Season peak week,0.015473996590007711
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 2,Season peak week,0.016271868088795303
LANL-DBMplus,2010/20112019/2020,HHS Region 2,Season peak week,0.28499792871417645
Protea-Cheetah,2010/20112019/2020,HHS Region 2,Season peak week,0.14257205117985453
Protea-Kudu,2010/20112019/2020,HHS Region 2,Season peak week,0.02274298990726046
Protea-Springbok,2010/20112019/2020,HHS Region 2,Season peak week,0.39484797620659073
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 2,Season peak week,0.01902308604239626
UA-EpiCos,2010/20112019/2020,HHS Region 2,Season peak week,0.013657638819305975
CU-BMA,2010/20112019/2020,HHS Region 2,Season peak percentage,0.06726721389697024
FluOutlook-Mech,2010/20112019/2020,HHS Region 2,Season peak percentage,0.1568647410028509
FluOutlook-MechAug,2010/20112019/2020,HHS Region 2,Season peak percentage,0.17581048771167776
FluX-ARLR,2010/20112019/2020,HHS Region 2,Season peak percentage,0.019467570797041655
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 2,Season peak percentage,0.0316304119833929
LANL-DBMplus,2010/20112019/2020,HHS Region 2,Season peak percentage,0.19455555954474607
Protea-Cheetah,2010/20112019/2020,HHS Region 2,Season peak percentage,0.04434148773677774
Protea-Kudu,2010/20112019/2020,HHS Region 2,Season peak percentage,0.018948879517699795
Protea-Springbok,2010/20112019/2020,HHS Region 2,Season peak percentage,0.24757013979286976
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 2,Season peak percentage,0.012551623153181013
