component_model_id,season,location,target,weight
CU-RHF_SIRS,2010/2011,US National,2 wk ahead,0.011962434734964405
Delphi-BasisRegression,2010/2011,US National,2 wk ahead,0.011994871566432214
Delphi-DeltaDensity1,2010/2011,US National,2 wk ahead,0.2386842636066364
Delphi-DeltaDensity2,2010/2011,US National,2 wk ahead,0.14471381959743707
Delphi-EmpiricalFuture,2010/2011,US National,2 wk ahead,0.00417691912701082
Delphi-EmpiricalTraj,2010/2011,US National,2 wk ahead,0.004204098314595268
Delphi-Uniform,2010/2011,US National,2 wk ahead,0.003630343364873886
FluOutlook-Mech,2010/2011,US National,2 wk ahead,0.006984216413895833
FluOutlook-MechAug,2010/2011,US National,2 wk ahead,0.21652449384674008
FluX-ARLR,2010/2011,US National,2 wk ahead,0.005775690671425864
FluX-FluX_LSTM,2010/2011,US National,2 wk ahead,0.0061175619242506375
LANL-DBMplus,2010/2011,US National,2 wk ahead,0.008412644251976088
Protea-Cheetah,2010/2011,US National,2 wk ahead,0.02592537660497794
Protea-Kudu,2010/2011,US National,2 wk ahead,0.004675971763234655
Protea-Springbok,2010/2011,US National,2 wk ahead,0.04317013838330278
ReichLab-KCDE_NB,2010/2011,US National,2 wk ahead,0.009333537217750572
ReichLab-KCDE_PHB,2010/2011,US National,2 wk ahead,0.009315921870766691
ReichLab-KDE,2010/2011,US National,2 wk ahead,0.004613356228688542
ReichLab-SARIMA1,2010/2011,US National,2 wk ahead,0.012322349399453104
ReichLab-SARIMA2,2010/2011,US National,2 wk ahead,0.02392268501470097
UA-EpiCos,2010/2011,US National,2 wk ahead,0.009109903659238552
CU-BMA,2010/2011,US National,3 wk ahead,0.00970011796302317
CU-EAKFC_SEIRS,2010/2011,US National,3 wk ahead,0.02616837886635678
CU-EAKFC_SIRS,2010/2011,US National,3 wk ahead,0.010653801727263447
CU-EKF_SEIRS,2010/2011,US National,3 wk ahead,0.0292940601339038
CU-EKF_SIRS,2010/2011,US National,3 wk ahead,0.010163838534649186
CU-RHF_SEIRS,2010/2011,US National,3 wk ahead,0.09072606747732213
CU-RHF_SIRS,2010/2011,US National,3 wk ahead,0.010781413974666386
Delphi-BasisRegression,2010/2011,US National,3 wk ahead,0.015683539970795232
Delphi-DeltaDensity1,2010/2011,US National,3 wk ahead,0.24084858543400958
Delphi-DeltaDensity2,2010/2011,US National,3 wk ahead,0.19717967455175997
Delphi-EmpiricalFuture,2010/2011,US National,3 wk ahead,0.004585145093507601
Delphi-EmpiricalTraj,2010/2011,US National,3 wk ahead,0.004632255219670717
Delphi-Uniform,2010/2011,US National,3 wk ahead,0.00372961825967365
FluOutlook-Mech,2010/2011,US National,3 wk ahead,0.012196570137051803
FluOutlook-MechAug,2010/2011,US National,3 wk ahead,0.1653430530730548
FluX-ARLR,2010/2011,US National,3 wk ahead,0.005450664744495769
FluX-FluX_LSTM,2010/2011,US National,3 wk ahead,0.006958545227690544
LANL-DBMplus,2010/2011,US National,3 wk ahead,0.012765596453312721
Protea-Cheetah,2010/2011,US National,3 wk ahead,0.016536693600388112
Protea-Kudu,2010/2011,US National,3 wk ahead,0.005154984848137655
Protea-Springbok,2010/2011,US National,3 wk ahead,0.028695007115722683
ReichLab-KCDE_NB,2010/2011,US National,3 wk ahead,0.010330882584616495
ReichLab-KCDE_PHB,2010/2011,US National,3 wk ahead,0.01027188043203841
ReichLab-KDE,2010/2011,US National,3 wk ahead,0.005380817255492876
ReichLab-SARIMA1,2010/2011,US National,3 wk ahead,0.012614680541504846
ReichLab-SARIMA2,2010/2011,US National,3 wk ahead,0.046407692274353866
UA-EpiCos,2010/2011,US National,3 wk ahead,0.007746434505537815
CU-BMA,2010/2011,US National,4 wk ahead,0.008606499979891432
CU-EAKFC_SEIRS,2010/2011,US National,4 wk ahead,0.029576543414039126
CU-EAKFC_SIRS,2010/2011,US National,4 wk ahead,0.008501553129411686
CU-EKF_SEIRS,2010/2011,US National,4 wk ahead,0.02515743749161771
CU-EKF_SIRS,2010/2011,US National,4 wk ahead,0.008995558653131439
CU-RHF_SEIRS,2010/2011,US National,4 wk ahead,0.11023490048167775
CU-RHF_SIRS,2010/2011,US National,4 wk ahead,0.008552977574122416
Delphi-BasisRegression,2010/2011,US National,4 wk ahead,0.016232167197550353
Delphi-DeltaDensity1,2010/2011,US National,4 wk ahead,0.2317809809681271
Delphi-DeltaDensity2,2010/2011,US National,4 wk ahead,0.20360030469161958
Delphi-EmpiricalFuture,2010/2011,US National,4 wk ahead,0.004984642420969066
Delphi-EmpiricalTraj,2010/2011,US National,4 wk ahead,0.005058163971921583
Delphi-Uniform,2010/2011,US National,4 wk ahead,0.0038168728516574726
FluOutlook-Mech,2010/2011,US National,4 wk ahead,0.018415129649513973
FluOutlook-MechAug,2010/2011,US National,4 wk ahead,0.12393394258711939
FluX-ARLR,2010/2011,US National,4 wk ahead,0.005163351776299337
FluX-FluX_LSTM,2010/2011,US National,4 wk ahead,0.008052834515225564
