component_model_id,season,location,target,weight
CU-EAKFC_SEIRS,2016/2017,HHS Region 1,1 wk ahead,0.0300101215556239
CU-EAKFC_SIRS,2016/2017,HHS Region 1,1 wk ahead,0.0300101215556239
CU-EKF_SEIRS,2016/2017,HHS Region 1,1 wk ahead,0.0300101215556239
CU-EKF_SIRS,2016/2017,HHS Region 1,1 wk ahead,0.0300101215556239
CU-RHF_SEIRS,2016/2017,HHS Region 1,1 wk ahead,0.0300101215556239
CU-RHF_SIRS,2016/2017,HHS Region 1,1 wk ahead,0.0300101215556239
Delphi-BasisRegression,2016/2017,HHS Region 1,1 wk ahead,6.37598640041395e-20
Delphi-DeltaDensity1,2016/2017,HHS Region 1,1 wk ahead,0.388091995850188
Delphi-DeltaDensity2,2016/2017,HHS Region 1,1 wk ahead,0.0920188636281484
Delphi-EmpiricalBayes1,2016/2017,HHS Region 1,1 wk ahead,0.339828106324434
Delphi-EmpiricalBayes2,2016/2017,HHS Region 1,1 wk ahead,3.31127953135826e-31
Delphi-EmpiricalFuture,2016/2017,HHS Region 1,1 wk ahead,6.95224097718626e-122
Delphi-EmpiricalTraj,2016/2017,HHS Region 1,1 wk ahead,6.95224097718626e-122
Delphi-Stat,2016/2017,HHS Region 1,1 wk ahead,1.01622935956354e-08
Delphi-Uniform,2016/2017,HHS Region 1,1 wk ahead,6.24886316325127e-270
LANL-DBM,2016/2017,HHS Region 1,1 wk ahead,1.19491687552719e-25
ReichLab-KCDE,2016/2017,HHS Region 1,1 wk ahead,4.25231536719e-08
ReichLab-KDE,2016/2017,HHS Region 1,1 wk ahead,3.48944151347029e-82
ReichLab-SARIMA1,2016/2017,HHS Region 1,1 wk ahead,3.52524216409702e-18
ReichLab-SARIMA2,2016/2017,HHS Region 1,1 wk ahead,1.56679415647391e-24
CU-BMA,2010/2011,HHS Region 10,1 wk ahead,1.81541988146983e-12
CU-EAKFC_SEIRS,2010/2011,HHS Region 10,1 wk ahead,0.157768926025847
CU-EAKFC_SIRS,2010/2011,HHS Region 10,1 wk ahead,0.157768926025847
CU-EKF_SEIRS,2010/2011,HHS Region 10,1 wk ahead,0.157768926025847
CU-EKF_SIRS,2010/2011,HHS Region 10,1 wk ahead,0.157768926025847
CU-RHF_SEIRS,2010/2011,HHS Region 10,1 wk ahead,0.157768926025847
CU-RHF_SIRS,2010/2011,HHS Region 10,1 wk ahead,0.157768926025847
Delphi-BasisRegression,2010/2011,HHS Region 10,1 wk ahead,2.40072254761044e-19
Delphi-DeltaDensity1,2010/2011,HHS Region 10,1 wk ahead,1.09481149990157e-06
Delphi-DeltaDensity2,2010/2011,HHS Region 10,1 wk ahead,2.36661424921987e-07
Delphi-EmpiricalBayes1,2010/2011,HHS Region 10,1 wk ahead,0.0533851123562743
Delphi-EmpiricalBayes2,2010/2011,HHS Region 10,1 wk ahead,1.06603761019939e-19
Delphi-EmpiricalFuture,2010/2011,HHS Region 10,1 wk ahead,1.54804549065559e-93
Delphi-EmpiricalTraj,2010/2011,HHS Region 10,1 wk ahead,1.54804549065559e-93
Delphi-Stat,2010/2011,HHS Region 10,1 wk ahead,1.17311753089612e-11
Delphi-Uniform,2010/2011,HHS Region 10,1 wk ahead,6.73066108580238e-190
LANL-DBM,2010/2011,HHS Region 10,1 wk ahead,4.85716649123406e-31
ReichLab-KCDE,2010/2011,HHS Region 10,1 wk ahead,7.22486128528551e-16
ReichLab-KDE,2010/2011,HHS Region 10,1 wk ahead,2.49808171345827e-63
ReichLab-SARIMA1,2010/2011,HHS Region 10,1 wk ahead,2.16953248333368e-12
ReichLab-SARIMA2,2010/2011,HHS Region 10,1 wk ahead,3.00920190618752e-18
CU-BMA,2011/2012,HHS Region 10,1 wk ahead,1.91791184924264e-10
CU-EAKFC_SEIRS,2011/2012,HHS Region 10,1 wk ahead,0.112816983616689
CU-EAKFC_SIRS,2011/2012,HHS Region 10,1 wk ahead,0.112816983616689
CU-EKF_SEIRS,2011/2012,HHS Region 10,1 wk ahead,0.112816983616689
CU-EKF_SIRS,2011/2012,HHS Region 10,1 wk ahead,0.112816983616689
CU-RHF_SEIRS,2011/2012,HHS Region 10,1 wk ahead,0.112816983616689
CU-RHF_SIRS,2011/2012,HHS Region 10,1 wk ahead,0.112816983616689
Delphi-BasisRegression,2011/2012,HHS Region 10,1 wk ahead,4.52406266645891e-17
Delphi-DeltaDensity1,2011/2012,HHS Region 10,1 wk ahead,1.39646265434081e-05
Delphi-DeltaDensity2,2011/2012,HHS Region 10,1 wk ahead,6.48657388313862e-08
Delphi-EmpiricalBayes1,2011/2012,HHS Region 10,1 wk ahead,0.323084068206825
Delphi-EmpiricalBayes2,2011/2012,HHS Region 10,1 wk ahead,3.77469285258282e-14
Delphi-EmpiricalFuture,2011/2012,HHS Region 10,1 wk ahead,4.48986558459793e-103
Delphi-EmpiricalTraj,2011/2012,HHS Region 10,1 wk ahead,4.48986558459793e-103
Delphi-Stat,2011/2012,HHS Region 10,1 wk ahead,4.08921003154459e-10
Delphi-Uniform,2011/2012,HHS Region 10,1 wk ahead,7.65872607045229e-216
LANL-DBM,2011/2012,HHS Region 10,1 wk ahead,4.18099346525614e-34
ReichLab-KCDE,2011/2012,HHS Region 10,1 wk ahead,1.06765889797957e-15
ReichLab-KDE,2011/2012,HHS Region 10,1 wk ahead,4.39047640016012e-72
ReichLab-SARIMA1,2011/2012,HHS Region 10,1 wk ahead,6.18720005965276e-15
ReichLab-SARIMA2,2011/2012,HHS Region 10,1 wk ahead,1.51362492429269e-20
CU-BMA,2012/2013,HHS Region 10,1 wk ahead,1.03021306363414e-22
CU-EAKFC_SEIRS,2012/2013,HHS Region 10,1 wk ahead,0.166397593595508
CU-EAKFC_SIRS,2012/2013,HHS Region 10,1 wk ahead,0.166397593595508
CU-EKF_SEIRS,2012/2013,HHS Region 10,1 wk ahead,0.166397593595508
CU-EKF_SIRS,2012/2013,HHS Region 10,1 wk ahead,0.166397593595508
CU-RHF_SEIRS,2012/2013,HHS Region 10,1 wk ahead,0.166397593595508
CU-RHF_SIRS,2012/2013,HHS Region 10,1 wk ahead,0.166397593595508
Delphi-BasisRegression,2012/2013,HHS Region 10,1 wk ahead,3.24409972577398e-51
Delphi-DeltaDensity1,2012/2013,HHS Region 10,1 wk ahead,2.43510914981902e-19
Delphi-DeltaDensity2,2012/2013,HHS Region 10,1 wk ahead,1.51209835905955e-31
Delphi-EmpiricalBayes1,2012/2013,HHS Region 10,1 wk ahead,0.00161443842695369
Delphi-EmpiricalBayes2,2012/2013,HHS Region 10,1 wk ahead,9.26753557704806e-49
Delphi-EmpiricalFuture,2012/2013,HHS Region 10,1 wk ahead,2.66088035827844e-306
Delphi-EmpiricalTraj,2012/2013,HHS Region 10,1 wk ahead,2.66088035827844e-306
Delphi-Stat,2012/2013,HHS Region 10,1 wk ahead,1.23145358348416e-37
Delphi-Uniform,2012/2013,HHS Region 10,1 wk ahead,0
LANL-DBM,2012/2013,HHS Region 10,1 wk ahead,6.72427210421144e-97
ReichLab-KCDE,2012/2013,HHS Region 10,1 wk ahead,6.0079817785045e-53
ReichLab-KDE,2012/2013,HHS Region 10,1 wk ahead,1.69555533023442e-204
ReichLab-SARIMA1,2012/2013,HHS Region 10,1 wk ahead,3.20144569270857e-42
ReichLab-SARIMA2,2012/2013,HHS Region 10,1 wk ahead,2.92072872386784e-54
CU-BMA,2013/2014,HHS Region 10,1 wk ahead,6.55454985785174e-05
CU-EAKFC_SEIRS,2013/2014,HHS Region 10,1 wk ahead,0.140285493912262
CU-EAKFC_SIRS,2013/2014,HHS Region 10,1 wk ahead,0.140285493912262
CU-EKF_SEIRS,2013/2014,HHS Region 10,1 wk ahead,0.140285493912262
CU-EKF_SIRS,2013/2014,HHS Region 10,1 wk ahead,0.140285493912262
CU-RHF_SEIRS,2013/2014,HHS Region 10,1 wk ahead,0.140285493912262
CU-RHF_SIRS,2013/2014,HHS Region 10,1 wk ahead,0.140285493912262
Delphi-BasisRegression,2013/2014,HHS Region 10,1 wk ahead,1.7865493172469e-17
Delphi-DeltaDensity1,2013/2014,HHS Region 10,1 wk ahead,5.16987395626871e-09
Delphi-DeltaDensity2,2013/2014,HHS Region 10,1 wk ahead,8.81418118438245e-09
Delphi-EmpiricalBayes1,2013/2014,HHS Region 10,1 wk ahead,0.158221477043794
Delphi-EmpiricalBayes2,2013/2014,HHS Region 10,1 wk ahead,2.15437080142191e-15
Delphi-EmpiricalFuture,2013/2014,HHS Region 10,1 wk ahead,5.18285955141722e-160
Delphi-EmpiricalTraj,2013/2014,HHS Region 10,1 wk ahead,5.18285955141722e-160
Delphi-Stat,2013/2014,HHS Region 10,1 wk ahead,3.66965694961488e-16
Delphi-Uniform,2013/2014,HHS Region 10,1 wk ahead,0
LANL-DBM,2013/2014,HHS Region 10,1 wk ahead,1.15085645116944e-46
ReichLab-KCDE,2013/2014,HHS Region 10,1 wk ahead,6.91799069748116e-27
ReichLab-KDE,2013/2014,HHS Region 10,1 wk ahead,3.6068950562852e-103
ReichLab-SARIMA1,2013/2014,HHS Region 10,1 wk ahead,1.19965511299537e-20
ReichLab-SARIMA2,2013/2014,HHS Region 10,1 wk ahead,2.19886567683424e-30
CU-BMA,2014/2015,HHS Region 10,1 wk ahead,1.69205089513793e-10
CU-EAKFC_SEIRS,2014/2015,HHS Region 10,1 wk ahead,0.166660829285644
CU-EAKFC_SIRS,2014/2015,HHS Region 10,1 wk ahead,0.166660829285644
CU-EKF_SEIRS,2014/2015,HHS Region 10,1 wk ahead,0.166660829285644
CU-EKF_SIRS,2014/2015,HHS Region 10,1 wk ahead,0.166660829285644
CU-RHF_SEIRS,2014/2015,HHS Region 10,1 wk ahead,0.166660829285644
CU-RHF_SIRS,2014/2015,HHS Region 10,1 wk ahead,0.166660829285644
Delphi-BasisRegression,2014/2015,HHS Region 10,1 wk ahead,6.41474594083109e-19
Delphi-DeltaDensity1,2014/2015,HHS Region 10,1 wk ahead,3.95168911594175e-09
Delphi-DeltaDensity2,2014/2015,HHS Region 10,1 wk ahead,3.33015461745593e-10
Delphi-EmpiricalBayes1,2014/2015,HHS Region 10,1 wk ahead,3.50198322243724e-05
Delphi-EmpiricalBayes2,2014/2015,HHS Region 10,1 wk ahead,1.27643375212282e-28
Delphi-EmpiricalFuture,2014/2015,HHS Region 10,1 wk ahead,7.34271689610469e-139
Delphi-EmpiricalTraj,2014/2015,HHS Region 10,1 wk ahead,7.34271689610469e-139
Delphi-Stat,2014/2015,HHS Region 10,1 wk ahead,3.99905706414006e-16
Delphi-Uniform,2014/2015,HHS Region 10,1 wk ahead,2.64471920725411e-279
LANL-DBM,2014/2015,HHS Region 10,1 wk ahead,7.08116647702336e-40
ReichLab-KCDE,2014/2015,HHS Region 10,1 wk ahead,8.5937121420709e-22
